"MOD_NAME","ITM_NAME","SEQ_NO","DSCR","ITM_TYPE","FLD_LEN","DECML","MIN_LEN","MAX_LEN","CODELIST","update_stamp"
"AE","","0","Adverse Event Log","","","","","","","2017-06-12 07:11:47.0"
"AE","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:47.0"
"AE","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:47.0"
"AE","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:47.0"
"AE","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:47.0"
"AE","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:47.0"
"AE","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:47.0"
"AE","INVSTAFF","7","Investigator staff code","CHAR","4","","","","","2017-06-12 07:11:47.0"
"AE","AESEQ","8","AE#","NUMBER","3","0","","","","2017-06-12 07:11:47.0"
"AE","AETERM","9","Adverse Event","CHAR","240","","","","","2017-06-12 07:11:47.0"
"AE","STARTDT","10","Start Date","DATE","","","","","","2017-06-12 07:11:47.0"
"AE","STARTEST","11","Start Date Estimation","CHAR","3","","","","DATEEST","2017-06-12 07:11:47.0"
"AE","STOPDT","12","Stop Date","DATE","","","","","","2017-06-12 07:11:47.0"
"AE","STOPEST","13","Stop Date Estimation","CHAR","3","","","","DATEEST","2017-06-12 07:11:47.0"
"AE","AESEVER","14","Severity","CHAR","1","","","","AESERV","2017-06-12 07:11:48.0"
"AE","SAE","15","SAE","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","AERELAT","16","Relationship to Study","CHAR","1","","","","AERELAT","2017-06-12 07:11:48.0"
"AE","RELDSCAN","17","Related to DaTSCAN","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","RELLP","18","Related to LP","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","RELAV133","19","Related to AV-133","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","RELSKBIO","20","Related to Skin Biopsy","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","RELFB","21","Related to Florbetaben","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","RELPRCDR","22","Related to other study procedure","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","PWDTAE","23","Premature Withdrawal due to AE","CHAR","1","","","","YES","2017-06-12 07:11:48.0"
"AE","AEOUTCOM","24","Outcome","CHAR","1","","","","AEOUTCOM","2017-06-12 07:11:48.0"
"AE","AEFLUP","25","AE Status at final visit","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AE","VERBATIM","27","MedDRA Lookup Term","CHAR","100","","","","","2017-06-12 07:11:48.0"
"AE","LLT_NAME","28","Low Level Term","CHAR","100","","","","","2017-06-12 07:11:48.0"
"AE","PT_CODE","29","Preferred Term Code","NUMBER","15","0","","","","2017-06-12 07:11:48.0"
"AE","PT_NAME","30","Preferred Term Name","CHAR","120","","","","","2017-06-12 07:11:48.0"
"AE","HLT_NAME","31","High Level Term","CHAR","120","","","","","2017-06-12 07:11:48.0"
"AE","HLGTNAME","32","High Level Group Term","CHAR","120","","","","","2017-06-12 07:11:48.0"
"AE","SOCABBR1","33","System Organ Class 1","CHAR","5","","","","","2017-06-12 07:11:48.0"
"AE","VMEDDRA","34","MedDRA Version","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AE","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"AE","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"AE","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"AE","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"AVELIG","","0","AV-133 Subject Eligibility","","","","","","","2017-06-12 07:11:48.0"
"AVELIG","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"AVELIG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"AVELIG","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"AVELIG","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AVELIG","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AVELIG","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AVELIG","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"AVELIG","SIGNCNST","8","Signed Consent","CHAR","1","","","","CHECKBOX","2017-06-12 07:11:48.0"
"AVELIG","AVCNSTDT","9","AV-133 Informed consent date","DATE","","","","","","2017-06-12 07:11:48.0"
"AVELIG","INEX1","10","Inclusion Exclusion question 1","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","INEX2","11","Inclusion Exclusion question 2","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","INEX3","12","Inclusion Exclusion question 3","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","INEX4","13","Inclusion Exclusion question 4","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","INEX5","14","Inclusion Exclusion question 5","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","INEX6","15","Inclusion Exclusion question 6","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","INEX7","16","Inclusion Exclusion question 7","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVELIG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"AVELIG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"AVELIG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"AVELIG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","","0","AV-133 Imaging","","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"AVIMAG","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"AVIMAG","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"AVIMAG","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AVIMAG","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AVIMAG","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"AVIMAG","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","INVEVLBF","8","Study physician able to evaluate before","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVIMAG","VITLTMBF","9","Vital Sign Time - before","TIME","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","SYSSUPBF","10","Supine BP - systolic - before","NUMBER","3","0","100","140","","2017-06-12 07:11:48.0"
"AVIMAG","DIASUPBF","11","Supine BP - diastolic - before","NUMBER","3","0","60","100","","2017-06-12 07:11:48.0"
"AVIMAG","HRSUPBF","12","Supine heart rate - before","NUMBER","3","0","40","90","","2017-06-12 07:11:48.0"
"AVIMAG","SPREGPRF","13","Serum Pregnancy test performed","CHAR","1","","","","YNNA","2017-06-12 07:11:48.0"
"AVIMAG","SPRGRSLT","14","Serum Pregnancy test result","CHAR","1","","","","POSNEG01","2017-06-12 07:11:48.0"
"AVIMAG","SPRGCNBF","15","Serum Preg result confirmed prior to","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVIMAG","UPREGPRF","16","Urine Pregnancy test performed","CHAR","1","","","","YNNA","2017-06-12 07:11:48.0"
"AVIMAG","UPRGRSLT","17","Urine Pregnancy test result","CHAR","1","","","","POSNEG01","2017-06-12 07:11:48.0"
"AVIMAG","UPRGCNBF","18","Urine Preg result confirmed prior to","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVIMAG","INJECTTM","19","Time of Injection","TIME","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","VITLTMAF","20","Vital Sign Time - after","TIME","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","SYSSUPAF","21","Supine BP - systolic - after","NUMBER","3","0","100","140","","2017-06-12 07:11:48.0"
"AVIMAG","DIASUPAF","22","Supine BP - diastolic - after","NUMBER","3","0","60","100","","2017-06-12 07:11:48.0"
"AVIMAG","HRSUPAF","23","Supine heart rate - after","NUMBER","3","0","40","90","","2017-06-12 07:11:48.0"
"AVIMAG","PETCMPLT","24","PET scan completed?","CHAR","1","","","","CMPLT2","2017-06-12 07:11:48.0"
"AVIMAG","PETDT","25","Date PET scan completed","DATE","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","INVEVLAF","26","Study physician able to evaluate after","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVIMAG","XFRYN","27","Data transfer","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"AVIMAG","VMATRSLT","28","VMAT-2 PET Interpretation Report","CHAR","1","","","","VMATRSLT","2017-06-12 07:11:48.0"
"AVIMAG","COMM","29","Comments","CHAR","240","","","","","2017-06-12 07:11:48.0"
"AVIMAG","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"AVIMAG","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"AVIMAG","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","","0","Contact Information Brain Bank","","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"BBNKINF","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
"BBNKINF","CNO","3","Center Number","CHAR","4","","","","","2017-06-12 07:11:48.0"
"BBNKINF","PATNO","4","Patient Number","CHAR","8","","","","","2017-06-12 07:11:48.0"
"BBNKINF","EVENT_ID","5","Event Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"BBNKINF","PAG_NAME","6","Page Name","CHAR","8","","","","","2017-06-12 07:11:48.0"
"BBNKINF","INFODT","7","Event Date","DATE","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","BBNKSHR","8","Agree to share contact info-brain bank","CHAR","1","","","","YN","2017-06-12 07:11:48.0"
"BBNKINF","BBNKINDT","9","Date brain bank  contact info obtained","DATE","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","BBNKXFDT","10","Date brain bank contact info transferred","DATE","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","ORIG_ENTRY","101","Date of original data entry","DATE","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","LAST_UPDATE","102","Date of most recent update to record","DATE","","","","","","2017-06-12 07:11:48.0"
"BBNKINF","QUERY","103","Any open/pending queries on this record","NUMBER","8","","","","","2017-06-12 07:11:48.0"
"BBNKINF","SITE_APRV","104","Date site approved the data","DATE","","","","","","2017-06-12 07:11:48.0"
"Biospecimen_Analysis","PATNO","1","Patient Number","CHAR","8","","","","","2014-04-04 08:07:19.0"
"Biospecimen_Analysis","GENDER","2","Gender","CHAR","8","","","","","2014-04-04 08:10:05.0"
"Biospecimen_Analysis","DIAGNOSIS","3","Appropriate Diagnosis","CHAR","1","","","","","2014-04-04 08:22:58.0"
"Biospecimen_Analysis","CLINICAL_EVENT","4","Clinical Event","CHAR","20","","","","","2014-04-04 08:13:50.0"
"Biospecimen_Analysis","TYPE","5","Sample Type","CHAR","36","","","","","2014-04-04 08:15:08.0"
"Biospecimen_Analysis","TESTNAME","6","Test Type","CHAR","36","","","","","2014-04-04 08:15:50.0"
"Biospecimen_Analysis","TESTVALUE","7","Test Value","CHAR","36","","","","","2014-04-04 08:16:31.0"
"Biospecimen_Analysis","UNITS","8","Units of Measure","CHAR","8","","","","","2014-04-04 08:17:12.0"
"Biospecimen_Analysis","RUNDATE","9","Run Date of Test","DATE","","","","","","2014-04-04 08:18:24.0"
"Biospecimen_Analysis","PROJECTID","10","Project ID for Analysis","NUMBER","8","","","","","2014-04-04 08:19:36.0"
"Biospecimen_Analysis","PI_NAME","11","Name of Project PI","CHAR","64","","","","","2014-04-04 08:20:48.0"
"Biospecimen_Analysis","PI_INSTITUTION","12","Name of PI Instituion","CHAR","64","","","","","2014-04-04 08:21:14.0"
"BIOSPECIMEN_CELL_CATALOG","SPECIMEN_NO","1","Specimen Number","Number","6","0","","","","2017-03-08 07:18:11.0"
"BIOSPECIMEN_CELL_CATALOG","CUSTODIAL_DOMAIN","2","Custodial Domain","CHAR","20","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","TYPE","3","Type","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","CLINICAL_EVENT","4","Event Name","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","ALIAS_ID","5","Patient Number","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","QUANTITY","6","Quantity","Number","12","4","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","QUANTITY_UNITS","7","Quantity Units","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","NUM_AVAILABLE","8","Num Aliquots Available","Number","4","0","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","ADDTL_STOCK_AVAIL_ON_REQ","9","Addition Stock Available upon Request","CHAR","10","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","VENDOR","11","Cell Line Creator","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","REPROGRAMMING_METHOD","12","Reprogramming Method","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","CELL_TYPE","13","Cell Type","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","PARENT_SPECIMEN_ID","14","Parent Specimen ID","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","PARENT_CELL_TYPE","15","Parent Cell Type","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","CELLS_PER_CONTAINER","16","Cells per Container","NUMBER","10","0","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","PASSAGE_NUMBER_AT_FREEZE","17","Passage Number at Freeze","NUMBER","3","0","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE","18","Karotype Result","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","KARYOTYPE_PROCEDURE","19","Karotype Procedure","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","IDENTITY_TEST","20","Identity Test Result","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","PLURIPOTENCY","21","Pluripotency Result","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","MYCOPLASMA","22","Mycoplasma Result","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","STERILITY_TEST","23","Sterility Test Result","CHAR","100","","","","","2017-02-13 12:42:46.0"
"BIOSPECIMEN_CELL_CATALOG","FREEZING_MEDIA","24","Freezing Media","CHAR","100","","","","","2017-02-13 12:42:46.0"
"CHNGCAT","","0","Change of Category Form","","","","","","","2017-06-12 07:11:48.0"
"CHNGCAT","REC_ID","1","Record ID","NUMBER","12","0","","","","2017-06-12 07:11:48.0"
"CHNGCAT","F_STATUS","2","Data status: Verified, Secured or Locked","CHAR","1","","","","","2017-06-12 07:11:48.0"
