"SECTION","CHARACTERISTIC","VARIABLES","DATASETS","update_stamp"
"Study Groups","Enrolled PD Subject","PATNO, APPRDX, ENROLLDT.  Merge SCREEN with RANDOM and find each unique PATNO with APPRDX = '1' that is not missing ENROLLDT.","RANDOM (Consent and Enrollment), SCREEN","2016-09-12 14:14:25.0"
"Study Groups","Enrolled Healthy Control","PATNO, APPRDX, ENROLLDT.  Merge SCREEN with RANDOM and find each unique PATNO with APPRDX = '2' that is not missing ENROLLDT.","RANDOM (Consent and Enrollment), SCREEN","2016-09-12 14:14:25.0"
"Study Groups","Enrolled SWEDD Subject","PATNO, APPRDX, ENROLLDT.  Merge SCREEN with RANDOM and find each unique PATNO with APPRDX = '3' that is not missing ENROLLDT.","RANDOM (Consent and Enrollment), SCREEN","2016-09-12 14:14:25.0"
"Study Groups","Enrolled Prodromal Subject","PATNO, APPRDX, ENROLLDT.  Merge SCREEN with RANDOM and find each unique PATNO with APPRDX = '4' that is not missing ENROLLDT.","RANDOM (Consent and Enrollment), SCREEN","2016-09-12 14:14:25.0"
"Study Groups","Enrolled Genetic Cohort Subject","PATNO, APPRDX, ENROLLDT.  Merge SCREEN with RANDOM and find each unique PATNO with APPRDX = '5' (PD subjects) or '6' (Unaffected subjects) that is not missing ENROLLDT.","RANDOM (Consent and Enrollment), SCREEN","2016-09-12 14:14:25.0"
"Study Groups","Enrolled Genetic Registry Subject","PATNO, APPRDX, ENROLLDT.  Merge SCREEN with RANDOM and find each unique PATNO with APPRDX = '7' (PD subjects) or '8' (Unaffected subjects) that is not missing ENROLLDT.","RANDOM (Consent and Enrollment), SCREEN","2016-09-12 14:14:25.0"
"Demographics and PD Characteristics","Age","ENROLLDT - BIRTHDT","RANDOM (Consent and Enrollment)","2016-09-12 14:14:25.0"
"Demographics and PD Characteristics","Gender","GENDER = 2 is Male.  GENDER = 0 or 1 is Female.","RANDOM (Consent and Enrollment)","2016-09-12 14:14:25.0"
"Demographics and PD Characteristics","Race","RAINDALS, RAASIAN, RABLACK, RAHAWOPI, RAWHITE, RANOS.  Other = RAINDALS, RAHAWOPI, RANOS, or more than one race specified.","SCREEN","2016-09-12 14:14:25.0"
"Demographics and PD Characteristics","Family History of PD","BIOMOMPD, BIODADPD, FULSIBPD, HALFSIBPD, MAGPARPD, PAGPARPD, MATAUPD, PATAUPD, KIDSPD.  Subject has family history of PD if any one or more of these variables = '1'.","FAMHXPD","2016-09-12 14:14:25.0"
"Demographics and PD Characteristics","Disease Duration","Number of months between PDDXDT and ENROLLDT","PDFEAT, RANDOM (Consent and Enrollment)","2016-09-12 14:14:25.0"
"Demographics and PD Characteristics","TD / PIGD Classification","First calculate Tremor and PIGD scores:  Tremor score = mean of NP2TRMR, NP3PTRMR, NP3PTRML, NP3KTRMR, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON.  PIGD score = mean of NP2WALK, NP2FREZ, NP3GAIT, NP3FRZGT, NP3PSTBL.  Then calculate ratio = Tremor score / PIGD score.  If ratio >= 1.15, OR if PIGD score = 0 and Tremor score > 0, then subject is TD.  If ratio <= 0.9 then subject is PIGD.  If ratio > 0.9 and < 1.15, OR if Tremor score and PIGD score = 0, then subject is Indeterminate.","NUPDRS2P, NUPDRS3","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","Benton Judgment of Line Orientation Score","Sum of BJLOT1 - BJLOT30","LINEORNT","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","Epworth Sleepiness Scale","Sum of ESS1 - ESS8.  Subjects with ESS <10 are ""Not Sleepy"".  Subjects with ESS >=10 are ""Sleepy"".","EPWORTH","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","Geriatric Depression Scale (GDS)","Add 1 point for each response of ""No"" (0) to any of the following variables:  GDSSATIS, GDSGSPIR, GDSHAPPY, GDSALIVE, GDSENRGY. Add 1 point for each response of ""Yes"" (1) to any of the following variables:  GDSDROPD, GDSEMPTY, GDSBORED, GDSAFRAD, GDSHLPLS, GDSHOME, GDSMEMRY, GDSWRTLS, GDSHOPLS, GDSBETER.  Subjects with GDS >=5 are ""Depressed"".  Subjects with GDS <5 are ""Not Depressed"".","GDSSHORT","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","HVLT Immediate/Total Recall","Sum of HVLTRT1 - HVLTRT3","HVLT","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","HVLT Discrimination Recognition","HVLTREC - (HVLTFPRL + HVLTFPUN)","HVLT","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","HVLT Retention","HVLTRDLY / max(HVLTRT2, HVLTRT3)","HVLT","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","Letter Number Sequencing (LNS)","Sum of LNS1A - LNS7C","LNSPD","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","MDS-UPDRS Part I","Sum of NP1COG, NP1HALL, NP1DPRS, NP1ANXS, NP1APAT,NP1DDS, NP1SLPN, NP1SLPD, NP1PAIN, NP1URIN, NP1CNST, NP1LTHD, NP1FATG","NUPDRS1, NUPDRS1P","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","MDS-UPDRS Part II","Sum of NP2SPCH, NP2SALV, NP2SWAL, NP2EAT, NP2DRES, NP2HYGN, NP2HWRT, NP2HOBB, NP2TURN, NP2TRMR, NP2RISE, NP2WALK, NP2FREZ","NUPDRS2P","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","MDS-UPDRS Part III (Motor)","Sum of NP3SPCH, NP3FACXP, NP3RIGN, NP3RIGRU, NP3RIGLU, PN3RIGRL, NP3RIGLL, NP3FTAPR, NP3FTAPL, NP3HMOVR, NP3HMOVL, NP3PRSPR, NP3PRSPL, NP3TTAPR, NP3TTAPL, NP3LGAGR, NP3LGAGL, NP3RISNG, NP3GAIT, NP3FRZGT, NP3PSTBL, NP3POSTR, NP3BRADY, NP3PTRMR, NP3PTRML, NP3KTRMR, NP3KTRML, NP3RTARU, NP3RTALU, NP3RTARL, NP3RTALL, NP3RTALJ, NP3RTCON","NUPDRS3","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","MDS-UPDRS Part IV","Sum of NP4WDYSK, NP4DYSKI, NP4OFF, NP4FLCTI, NP4FLCTX, NP4DYSTN","NUPDRS4","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","MDS-UPDRS Total Score","Sum of MDS-UPDRS Parts I, II, III","NUPDRS1, NUPDRS1P, NUPDRS2P, NUPDRS3","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","MOCA Total Score","Unadjusted Score = sum of MCAALTTM, MCACUBE, MCACLCKC, MCACLCKN, MCACLCKH, MCALION,  MCARHINO, MCACAMEL, MCAFDS, MCABDS, MCAVIGIL, MCASER7, MCASNTNC, MCAVF, MCAABSTR, MCAREC1, MCAREC2, MCAREC3, MCAREC4, MCAREC5, MCADATE, MCAMONTH, MCAYR, MCADAY, MCAPLACE, MCACTY.  If EDUCYRS <=12 and Unadjusted Score < 30, add 1 more point to score.  If EDUCYRS > 12, do not add any more points to score.","MOCA, SOCIOECO","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","QUIP","For Sections A - D, add 1 point if either question has a response of ""Yes"" (1):  Section A:  CNTRLGMB, TMGAMBLE; Section B:  CNTRLSEX, TMSEX; Section C:  CNTRLBUY, TMBUY; Section D:  CNTRLEAT, TMEAT.  For Section E, add 1 point for each response of ""Yes"" (1):  TMTORACT, TMTMTACT, TMTRWD.","QUIPCS","2016-09-12 14:14:25.0"
"Motor and Non-Motor Assessments","REM Sleep Behavior Disorder (RBD)","Add 1 point for each response of ""Yes"" (1) to any of the following variables:  DRMVIVID, DRMAGRAC, DRMNOCTB, SLPLMBMV, SLPINJUR, DRMVERBL, DRMFIGHT, DRMUMV, DRMOBJFL, MVAWAKEN, DRMREMEM, SLPDSTRB.  Add 1 point if any of the following variables has a response of ""Yes"" (1):  STROKE, HETRA, PARKISM, RLS, NARCLPSY, DEPRS, EPILEPSY, BRNINFM, CNSOTH.  If any of the previous variables are missing, then RBD score is missing.  Subjects with score >=5 are RBD Positive.  Subjects with score <5 are RBD Negative.","REMSLEEP","2016-09-12 14:14:25.0"
